attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Lindisfarne Castle,NE,Northumberland,Northumberland,Coastal,Historic Properties,Castle / Fort,96847,89154,84340,89370,91191,Paid,£5.00 to £7.49,"50,001-100,000"
Lindisfarne Priory,NE,Northumberland,Northumberland,Coastal,Historic Properties,Historic Monument/ Archaeological Site,47648,43534,51281,53310,50206,Paid,£5.00 to £7.49,"50,001-100,000"
Little Baddow History Centre,EAST,Essex,Chelmsford,Rural,Museums & Art Galleries,Museum and / or Art Gallery,780,775,785,750,800,Free,Free,"10,000 or less"
Little Moreton Hall & Gardens,NW,Cheshire,Cheshire East,Rural,Historic Properties,Historic House / House and Garden / Palace,72000,73000,77000,80760,80000,Paid,£7.50 to £9.99,"50,001-100,000"
Littleborough Historical Centre,NW,Lancashire,Littleborough,Rural,Visitor Centres,Heritage / Visitor Centre,375,400,450,500,1200,Free,Free,"10,000 or less"
Living Seas Centre,Y&H,Yorkshire,Bridlington,Coastal,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,9000,10000,11000,11102,14259,Free,Free,"10,001-20,000"
Locomotion The National Railway Museum at Shildon,NE,County Durham,Durham,Urban,Museums & Art Galleries,Museum and / or Art Gallery,218000,193000,183000,283997,208011,Free,Free,"Over 200,000"
Lodge Park & Sherborne Estate,SW,Gloucestershire,Cotswold,Rural,Historic Properties,Other Historic Property,7878,9705,11922,12020,11836,Paid,£5.00 to £7.49,"10,001-20,000"
London Wetland Centre,LON,Greater London,Richmond upon Thames,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,160000,170000,180000,188627,196636,Paid,Charge - DK,"100,001-200,000"
Long Crendon Courthouse,SE,Buckinghamshire,Aylesbury Vale,Rural,Historic Properties,Historic House / House and Garden / Palace,3000,3287,153,549,582,Paid,£3.01 to £4.99,"10,000 or less"
Longner Hall,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic House / House and Garden / Palace,456,388,467,195,199,Paid,£5.00 to £7.49,"10,000 or less"
Longthorpe Tower,EAST,Canbridgeshire,Peterborough,Rural,Historic Properties,Historic Monument/ Archaeological Site,1232,1913,2000,1698,816,Paid,£5.00 to £7.49,"10,000 or less"
Longton Brickcroft Nature Reserve,NW,Lancashire,South Ribble,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,30000,30000,20000,20000,20000,Free,Free,"10,001-20,000"
Lost Gardens of Heligan,SW,Cornwall,Cornwall,Coastal,Gardens,Garden,219115,196982,197783,226407,295219,Paid,£10.00 or over,"Over 200,000"
Lotherton Hall & Gardens,Y&H,WEST YORKSHIRE,Leeds,Rural,Museums & Art Galleries,Museum and / or Art Gallery,21512,34570,109631,179745,193968,Paid,£5.00 to £7.49,"100,001-200,000"
Louth Museum,EM,Lincolnshire,East Lindsey,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2054,2012,1796,1999,2320,Paid,£3.01 to £4.99,"10,000 or less"
Lowestoft Museum in Broad House,EAST,Suffolk,Waveney,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,9286,8793,9284,8446,8438,Free,Free,"10,000 or less"
Lullingstone Roman Villa,SE,Kent,Sevenoaks,Rural,Historic Properties,Historic Monument/ Archaeological Site,36133,29316,32237,29367,30463,Paid,£5.00 to £7.49,"20,001-50,000"
Lulworth Heritage Centre,SW,Dorset,Purbeck,Rural,Historic Properties,Castle / Fort,28641,25000,21919,20945,27398,Paid,£5.00 to £7.49,"20,001-50,000"
Baffins Pond,SE,Hampshire,Portsmouth,Urban,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,600,5000,10000,10000,10000,Free,Free,"10,000 or less"
Lyddington Bede House,EM,Rutland,Rutland,Rural,Historic Properties,Historic House / House and Garden / Palace,4935,4860,4789,4440,4564,Paid,£3.01 to £4.99,"10,000 or less"
Lyme Park & Gardens,NW,Cheshire,Cheshire East,Urban,Historic Properties,Historic House / House and Garden / Palace,141505,105803,109493,114836,146675,Paid,Charge - DK,"100,001-200,000"
Lynton & Barnstaple Railway,SW,Devon,North Devon,Rural,Railways,Steam / Heritage Railway,30500,32164,36480,46042,48040,Free,Free,"20,001-50,000"
Lynton and Lynmouth Cliff Railway,SW,Devon,North Devon,Coastal,Railways,Steam / Heritage Railway,421998,394310,401100,402283,391642,Paid,Under £3.00,"Over 200,000"
Lytes Cary Manor,SW,Somerset,South Somerset,Rural,Historic Properties,Historic House / House and Garden / Palace,52831,49765,49240,55780,61124,Paid,£7.50 to £9.99,"50,001-100,000"
Lytham Heritage Centre,NW,Lancashire,Fylde,Coastal,Visitor Centres,Heritage / Visitor Centre,15464,12363,13419,13683,11967,Free,Free,"10,001-20,000"
Lyveden New Bield,EM,Northamptonshire,East Northamptonshire,Rural,Historic Properties,Historic House / House and Garden / Palace,20300,17450,20313,27892,27888,Paid,£5.00 to £7.49,"20,001-50,000"
M/V Yorkshire Belle,Y&H,EAST RIDING OF YORKSHIRE,East Riding of Yorkshire,Coastal,Other,Other Historic / Scenic transport operator,28000,26000,24000,25500,25000,Paid,£5.00 to £7.49,"20,001-50,000"
MAC Birmingham,WM,West Midlands,Birmingham,Urban,Other,Other,884999,897558,888984,996523,1028371,Free,Free,"Over 200,000"
Malvern Museum,WM,Worcestershire,Malvern Hills,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5098,5587,5462,5176,4553,Paid,Under £3.00,"10,000 or less"
Manchester Craft and Design Centre,NW,Greater Manchester,Manchester,Urban,Workplace,Industrial / Craft Workplace,85000,90000,95000,98386,117459,Free,Free,"100,001-200,000"
Manchester Museum,NW,Greater Manchester,Manchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,360472,365820,398962,426517,453970,Free,Free,"Over 200,000"
Manchester United Museum & Tour Centre,NW,Greater Manchester,Manchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,322096,330963,321972,356476,310853,Paid,£10.00 or over,"Over 200,000"
Mannington Gardens,EAST,Norfolk,North Norfolk,Rural,Historic Properties,Historic House / House and Garden / Palace,6040,4167,5682,5226,4500,Paid,£5.00 to £7.49,"10,000 or less"
Manningtree and District Local History,EAST,ESSEX,Tendring,Urban,Museums & Art Galleries,Museum and / or Art Gallery,400,500,520,717,720,Free,Free,"10,000 or less"
Mansfield Museum,EM,Nottinghamshire,Mansfield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,47078,45794,44876,44804,45789,Free,Free,"20,001-50,000"
Mansion House,Y&H,North Yorkshire,York,Urban,Historic Properties,Historic House / House and Garden / Palace,4000,5000,6319,8114,4016,Paid,£5.00 to £7.49,"10,000 or less"
Mapperton House & Gardens,SW,Dorset,West Dorset,Rural,Historic Properties,Historic House / House and Garden / Palace,11923,7752,10000,11440,13000,Paid,£5.00 to £7.49,"10,001-20,000"
Marble Hill House,LON,Greater London,Richmond upon Thames,Urban,Historic Properties,Historic House / House and Garden / Palace,3937,2678,3082,2628,2433,Paid,£5.00 to £7.49,"10,000 or less"
Maritime Museum,EAST,Suffolk,Lowestoft,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,5000,5300,5224,4485,5000,Paid,Under £3.00,"10,000 or less"
Maritime Museum,Y&H,EAST RIDING OF YORKSHIRE,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,66934,79751,73094,89556,108511,Free,Free,"100,001-200,000"
Markenfield Hall,Y&H,NORTH YORKSHIRE,Harrogate,Rural,Historic Properties,Historic House / House and Garden / Palace,1693,1173,2467,2443,3179,Paid,£5.00 to £7.49,"10,000 or less"
Market Lavington Museum,SW,Wiltshire,Wiltshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,580,570,550,600,653,Free,Free,"10,000 or less"
Italianate Greenhouse,SE,Kent,Thanet,Coastal,Historic Properties,Historic House / House and Garden / Palace,6000,7000,8000,9000,10000,Free,Free,"10,000 or less"
Marton Mere Local Nature Reserve,NW,Lancashire,Blackpool,Urban,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,6000,7000,8000,9000,10000,Free,Free,"10,000 or less"
Marwell Wildlife,SE,Hampshire,Winchester,Rural,Wildlife,Safari Park / Zoo / Aquarium / Aviary,417806,399846,448450,484896,476601,Paid,£10.00 or over,"Over 200,000"
Mary Arden's Farm,WM,Warwickshire,Stratford-on-Avon,Rural,Historic Properties,Historic House / House and Garden / Palace,73936,74000,75064,79271,77144,Paid,£10.00 or over,"50,001-100,000"
Maumbury Rings,SW,Dorset,West Dorset,Urban,Historic Properties,Castle / Fort,1500,1500,1900,2000,2000,Free,Free,"10,000 or less"
Medieval Merchants House,SE,Hampshire,Southampton,Rural,Historic Properties,Historic House / House and Garden / Palace,749,896,789,714,137,Paid,£3.01 to £4.99,"10,000 or less"
Melbourne Hall and Gardens,EM,Derbyshire,South Derbyshire,Rural,Historic Properties,Historic House / House and Garden / Palace,5260,5871,6389,1923,1965,Paid,£5.00 to £7.49,"10,000 or less"
Melton Carnegie Museum,EM,Leicestershire,Melton,Urban,Museums & Art Galleries,Museum and / or Art Gallery,21317,20000,17000,14499,14168,Free,Free,"10,001-20,000"
Mendips & 20 Forthlin Road [Beatles],NW,Merseyside,Liverpool,Urban,Historic Properties,Historic House / House and Garden / Palace,10411,10200,10100,9883,10445,Paid,Charge - DK,"10,001-20,000"
Merrivale Model Village,EAST,Norfolk,Great Yarmouth,Coastal,Other,Other,53063,47326,42611,41624,38710,Paid,£5.00 to £7.49,"20,001-50,000"
Mersea Island Museum,EAST,Essex,Colchester,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,2914,2985,2612,2673,2947,Paid,Under £3.00,"10,000 or less"
Merseyside Maritime Museum,NW,Merseyside,Liverpool,Urban,Museums & Art Galleries,Museum and / or Art Gallery,883295,845709,622516,631711,662494,Free,Free,"Over 200,000"
Middle Littleton Tithe Barn (National Trust),WM,Worcestershire,Wychavon,Rural,Historic Properties,Other Historic Property,200,300,400,500,500,Free,Free,"10,000 or less"
Middleham Castle,Y&H,Richmondshire,NORTH YORKSHIRE,Rural,Historic Properties,Castle / Fort,16012,16108,25576,25032,24567,Paid,£3.01 to £4.99,"20,001-50,000"
Middleton Railway Museum,Y&H,WEST YORKSHIRE,Leeds,Urban,Railways,Steam / Heritage Railway,7000,8000,9000,10000,9000,Free,Free,"10,000 or less"
Millom Discovery Centre,NW,Cumbria,Copeland,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1008,1100,1000,1000,1100,Paid,£3.01 to £4.99,"10,000 or less"
Milton Keynes Museum,SE,Buckinghamshire,Milton Keynes,Urban,Museums & Art Galleries,Museum and / or Art Gallery,21403,23825,24009,28647,32892,Paid,£7.50 to £9.99,"20,001-50,000"
St Bartholomews Church,SE,East Sussex,Brighton and Hove,Urban,Places of Worship,Place of Worship (still in use),36085,35535,35000,30473,38019,Free,Free,"20,001-50,000"
Minster Gatehouse,SE,KENT,Swale,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,1172,1230,1580,2100,2500,Paid,Under £3.00,"10,000 or less"
Mirehouse Historic House and Gardens,NW,Cumbria,Allerdale,Rural,Historic Properties,Historic House / House and Garden / Palace,15900,13392,12926,12987,14421,Paid,£7.50 to £9.99,"10,001-20,000"
Miserden Park Gardens,SW,Gloucestershire,Stroud,Rural,Gardens,Garden,1626,1297,1429,1675,1918,Paid,£5.00 to £7.49,"10,000 or less"
Monk's House,SE,East Sussex,Lewes,Rural,Historic Properties,Historic House / House and Garden / Palace,5987,15000,15509,18112,21143,Paid,Charge - DK,"20,001-50,000"
Monkwearmouth Station Museum,NE,Tyne and Wear,Sunderland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,27884,27902,24154,22906,21658,Free,Free,"20,001-50,000"
Montacute House,SW,Somerset,South Somerset,Rural,Historic Properties,Historic House / House and Garden / Palace,116586,116000,123000,136000,154000,Paid,Charge - DK,"100,001-200,000"
Monument,LON,GREATER LONDON,City of London,Urban,Historic Properties,Historic Monument/ Archaeological Site,220000,225000,243790,242853,217810,Paid,£3.01 to £4.99,"Over 200,000"
Moors Valley Country Park,SW,Dorset,East Dorset,Rural,Country Parks,Country Park,832466,832466,797653,774265,723030,Free,Free,"Over 200,000"
Morville Hall,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic House / House and Garden / Palace,689,600,500,550,278,Paid,Charge - DK,"10,000 or less"
Moseley Old Hall,WM,Staffordshire,South Staffordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,27033,29772,30407,36416,42153,Paid,£7.50 to £9.99,"20,001-50,000"
"Mottisfont Abbey Garden, House and Estate",SE,Hampshire,Test Valley,Rural,Historic Properties,Historic House / House and Garden / Palace,209689,212442,263630,280860,294654,Paid,£10.00 or over,"Over 200,000"
Mottistone Manor Garden,SE,Isle of Wight,Isle of Wight,Rural,Gardens,Garden,31410,28423,29806,30791,30466,Paid,£5.00 to £7.49,"20,001-50,000"
Mount Ephraim Gardens,SE,Kent,Swale,Rural,Gardens,Garden,7000,7000,9000,10000,11000,Paid,£5.00 to £7.49,"10,001-20,000"
Mount Grace Priory,Y&H,North Yorkshire,Hambleton,Rural,Historic Properties,Historic Monument/ Archaeological Site,24346,16194,19762,21096,21266,Paid,£5.00 to £7.49,"20,001-50,000"
Mr Hardman's Home Photographic Studio,NW,Merseyside,Liverpool,Urban,Historic Properties,Historic House / House and Garden / Palace,4428,4454,3191,3362,3026,Paid,Charge - DK,"10,000 or less"
Mr Straw's House,EM,Nottinghamshire,Bassetlaw,Urban,Historic Properties,Historic House / House and Garden / Palace,9302,8500,8108,7360,8413,Paid,£5.00 to £7.49,"10,000 or less"
Much Wenlock Priory,WM,Shropshire,Shropshire,Rural,Historic Properties,Historic Monument/ Archaeological Site,16682,13856,13716,14498,11753,Paid,£3.01 to £4.99,"10,001-20,000"
Muchelney Abbey,SW,Somerset,South Somerset,Rural,Historic Properties,Historic Monument/ Archaeological Site,8399,5852,5620,5807,6493,Paid,£3.01 to £4.99,"10,000 or less"
Museum - Military- R.A.F,SW,Cornwall,Cornwall,Rural,Museums & Art Galleries,Museum and / or Art Gallery,2700,2597,2600,2700,2800,Free,Free,"10,000 or less"
Museum of Archaeology and Anthropology,EAST,CAMBRIDGESHIRE,Cambridge,Urban,Museums & Art Galleries,Museum and / or Art Gallery,59000,60000,61486,68184,62408,Free,Free,"50,001-100,000"
"Museum of Brands, Packaging and Advertising",LON,Greater London,Kensington and Chelsea,Urban,Museums & Art Galleries,Museum and / or Art Gallery,27470,29389,37562,40844,26466,Paid,£7.50 to £9.99,"20,001-50,000"
Museum of British Surfing,SW,Devon,Braunton,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,1800,1900,2000,2100,2322,Paid,Under £3.00,"10,000 or less"
Museum of Carpet,WM,Worcestershire,Wyre Forest,Urban,Museums & Art Galleries,Museum and / or Art Gallery,2000,2763,10372,6846,7405,Paid,£3.01 to £4.99,"10,000 or less"
Museum of Childhood at Bethnal Green,LON,Greater London,Tower Hamlets,Urban,Museums & Art Galleries,Museum and / or Art Gallery,444288,427200,443360,471000,449787,Free,Free,"Over 200,000"
Museum of Fulham Palace,LON,GREATER LONDON,Hammersmith and Fulham,Urban,Historic Properties,Historic House / House and Garden / Palace,220000,220000,230000,248391,261874,Free,Free,"Over 200,000"
Museum of Lakeland Life,NW,Cumbria,South Lakeland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,7000,8000,8756,10515,9796,Paid,£5.00 to £7.49,"10,000 or less"
Museum Of Lincolnshire Life,EM,Lincolnshire,Lincoln,Urban,Museums & Art Galleries,Museum and / or Art Gallery,59512,57006,62522,78617,80309,Free,Free,"50,001-100,000"
Museum of Liverpool,NW,Merseyside,Liverpool,Urban,Museums & Art Galleries,Museum and / or Art Gallery,667526,1011056,756582,707405,747263,Free,Free,"Over 200,000"
Museum of London,LON,Greater London,City of London,Urban,Museums & Art Galleries,Museum and / or Art Gallery,451974,650000,739512,909645,872978,Free,Free,"Over 200,000"
Museum of London Docklands,LON,Greater London,Tower Hamlets,Urban,Museums & Art Galleries,Museum and / or Art Gallery,191513,198308,236373,257425,270969,Free,Free,"Over 200,000"
Museum of Science and Industry (MOSI),NW,Greater Manchester,Manchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,852000,682000,657763,680881,697290,Free,Free,"Over 200,000"
Farnborough Air Sciences Museum,SE,Hampshire,RUSHMOOR,Urban,Museums & Art Galleries,Museum and / or Art Gallery,7800,8000,10000,9000,9000,Free,Free,"10,000 or less"
Museum of the Jewellery Quarter,WM,WEST MIDLANDS,,Urban,Museums & Art Galleries,Museum and / or Art Gallery,28855,28230,30212,30076,25416,Paid,£5.00 to £7.49,"20,001-50,000"
Museum of the Order of St John,LON,GREATER LONDON,Islington,Urban,Museums & Art Galleries,Museum and / or Art Gallery,19000,20000,20690,33242,33810,Free,Free,"20,001-50,000"
Museum of Transport Greater Manchester,NW,Greater Manchester,Manchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,12540,16358,16839,17538,17197,Paid,£3.01 to £4.99,"10,001-20,000"
Museums Sheffield: Millennium Gallery,Y&H,SOUTH YORKSHIRE,Sheffield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,869410,849360,800844,764892,764639,Free,Free,"Over 200,000"
Museums Sheffield: Weston Park,Y&H,SOUTH YORKSHIRE,Sheffield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,250114,255617,242197,235994,215000,Free,Free,"Over 200,000"
National Coal Mining Museum for England,Y&H,West Yorkshire,Wakefield,Rural,Museums & Art Galleries,Museum and / or Art Gallery,101403,111957,118772,124827,133060,Free,Free,"100,001-200,000"
National Football Museum,NW,Greater Manchester,Manchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,420000,430000,450000,474771,468093,Free,Free,"Over 200,000"
National Gallery,LON,Greater London,Westminster,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5260792,5163902,6031574,6416724,5908254,Free,Free,"Over 200,000"
National Glass Centre,NE,Tyne and Wear,Sunderland,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,150000,190000,199000,200499,211916,Free,Free,"Over 200,000"
National Maritime Museum,LON,Greater London,Greenwich,Urban,Museums & Art Galleries,Museum and / or Art Gallery,857997,1128944,1437725,1517787,1358964,Free,Free,"Over 200,000"
National Maritime Museum Cornwall,SW,Cornwall,Cornwall,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,111873,128784,113776,110869,145498,Paid,£10.00 or over,"100,001-200,000"
National Media Museum,Y&H,West Yorkshire,Bradford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,481000,504000,479158,433342,442314,Free,Free,"Over 200,000"
National Memorial Arboretum,WM,Staffordshire,Lichfield,Rural,Visitor Centres,Heritage / Visitor Centre,250000,291626,246404,289304,268032,Free,Free,"Over 200,000"
National Portrait Gallery,LON,Greater London,Westminster,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1880104,2096858,2014636,2062502,2145486,Free,Free,"Over 200,000"
National Railway Museum,Y&H,North Yorkshire,York,Urban,Museums & Art Galleries,Museum and / or Art Gallery,712000,716000,931388,718288,733618,Free,Free,"Over 200,000"
National Space Centre,EM,Leicestershire,Leicester,Urban,Museums & Art Galleries,Science / Technology Centre,200000,247000,252979,251296,285759,Paid,£10.00 or over,"Over 200,000"
National Waterways Museum - Boat Trip,SW,Cheshire,Cheshire West And Chester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,33806,34743,34291,30000,30000,Paid,Charge - DK,"20,001-50,000"
Natural History Museum,LON,Greater London,Kensington and Chelsea,Urban,Museums & Art Galleries,Museum and / or Art Gallery,4868598,5021762,5356884,5388295,5284023,Free,Free,"Over 200,000"
Natural History Museum Colchester,EAST,Essex,Colchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,24000,25000,26000,26151,26752,Free,Free,"20,001-50,000"
Navigation House,EM,Lincolnshire,North Kesteven,Urban,Visitor Centres,Heritage / Visitor Centre,3742,3369,2929,3148,3816,Free,Free,"10,000 or less"
Needham Lake and Nature Reserve,EAST,Suffolk,Mid Suffolk,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,311200,298041,308990,337000,320000,Free,Free,"Over 200,000"
New Brewery Arts,SW,Gloucestershire,Cotswold,Rural,Museums & Art Galleries,Museum and / or Art Gallery,253000,100000,100000,100000,85000,Free,Free,"50,001-100,000"
The Priory of St Pancras,SE,East Sussex,Lewes,Rural,Historic Properties,Historic Monument/ Archaeological Site,10000,15000,8000,8000,8500,Free,Free,"10,000 or less"
New Forest Tour,SW,Dorset,,Rural,Other,Other Historic / Scenic transport operator,38000,39000,40653,41877,34622,Paid,£10.00 or over,"20,001-50,000"
New Mills Heritage & Information Centre,EM,Derbyshire,High Peak,Rural,Visitor Centres,Heritage / Visitor Centre,13000,13671,12659,14850,12130,Free,Free,"10,001-20,000"
New Walk Museum and Art Gallery,EM,Leicestershire,Leicester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,239287,219065,201784,207224,192544,Free,Free,"100,001-200,000"
Newark Air Museum,EM,Nottinghamshire,Newark and Sherwood,Rural,Museums & Art Galleries,Museum and / or Art Gallery,22765,23236,23132,26961,30523,Paid,£7.50 to £9.99,"20,001-50,000"
Newark Park,SW,Gloucestershire,Cotswold,Rural,Historic Properties,Historic House / House and Garden / Palace,23000,26000,35423,39494,45453,Paid,£7.50 to £9.99,"20,001-50,000"
Newark Town Hall Museum & Art Gallery,EM,NOTTINGHAMSHIRE,Newark and Sherwood,Urban,Museums & Art Galleries,Museum and / or Art Gallery,6500,7000,6700,6500,6500,Free,Free,"10,000 or less"
Newarke Houses Museum,EM,Leicestershire,Leicester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,40212,37762,38202,39425,44734,Free,Free,"20,001-50,000"
The Lord Mayor's Chapel,SW,Bristol,City of Bristol,Urban,Places of Worship,Place of Worship (still in use),22000,23000,24241,35000,33500,Free,Free,"20,001-50,000"
Newport Roman Villa,SE,Isle of Wight,Isle of Wight,Urban,Historic Properties,Historic Monument / Archaeological Site,5815,4684,4842,5617,4994,Paid,Under £3.00,"10,000 or less"
Newstead Abbey,EM,Nottinghamshire,Gedling,Rural,Museums & Art Galleries,Museum and / or Art Gallery,55673,68835,74875,81519,101289,Paid,£5.00 to £7.49,"100,001-200,000"
Newtown Old Town Hall,SE,Isle of Wight,Isle of Wight,Rural,Visitor Centres,Heritage / Visitor Centre,3815,3286,3000,2752,2582,Paid,£3.01 to £4.99,"10,000 or less"
Nidderdale Museum,Y&H,NORTH YORKSHIRE,Harrogate,Rural,Museums & Art Galleries,Museum and / or Art Gallery,7900,7700,7600,7200,7500,Paid,Under £3.00,"10,000 or less"
Norfolk and Suffolk Aviation Museum,EAST,Suffolk,Waveney,Rural,Museums & Art Galleries,Museum and / or Art Gallery,40005,40000,40000,42000,42000,Free,Free,"20,001-50,000"
Norris Museum,EAST,CAMBRIDGESHIRE,Huntingdonshire,Urban,Museums & Art Galleries,Museum and / or Art Gallery,11014,14000,16000,17000,17669,Free,Free,"10,001-20,000"
North Cave Wetlands,Y&H,EAST RIDING OF YORKSHIRE,,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,15000,23000,24000,25000,25000,Free,Free,"20,001-50,000"
North Ings Farm Museum,EM,Lincolnshire,North Kesteven,Rural,Museums & Art Galleries,Museum and / or Art Gallery,70,67,98,106,157,Paid,Under £3.00,"10,000 or less"
Norwich Castle Museum and Art Gallery,EAST,Norfolk,Norwich,Urban,Museums & Art Galleries,Museum and / or Art Gallery,170151,178948,182016,212510,214080,Paid,£7.50 to £9.99,"Over 200,000"
Nostell Priory & Parkland,Y&H,West Yorkshire,Wakefield,Rural,Historic Properties,Historic House / House and Garden / Palace,118356,122214,110183,116034,118783,Paid,£10.00 or over,"100,001-200,000"
Nottingham Castle,EM,Nottinghamshire,Nottingham City,Urban,Museums & Art Galleries,Museum and / or Art Gallery,170225,192367,196857,216426,223864,Paid,£5.00 to £7.49,"Over 200,000"
Nowton Park,EAST,Suffolk,St Edmundsbury,Rural,Country Parks,Country Park,309549,28000,266851,307652,380646,Free,Free,"Over 200,000"
Number One Royal Crescent,SW,Somerset,Bath and North East Somerset,Urban,Historic Properties,Historic House / House and Garden / Palace,40000,46784,40575,62986,61949,Paid,£7.50 to £9.99,"50,001-100,000"
Nunnington Hall,Y&H,NORTH YORKSHIRE,Ryedale,Rural,Historic Properties,Historic House / House and Garden / Palace,65919,60377,59000,62201,66177,Paid,£7.50 to £9.99,"50,001-100,000"
Padworth Common,SE,Berkshire,West Berkshire,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,5900,6100,7000,7500,7500,Free,Free,"10,000 or less"
Nymans,SE,West Sussex,Mid Sussex,Rural,Gardens,Garden,284232,243976,262861,311818,319023,Paid,£10.00 or over,"Over 200,000"
Oakwell Hall & Country Park,Y&H,West Yorkshire,Kirklees,Rural,Country Parks,Country Park,140500,140000,143000,142218,138232,Paid,Under £3.00,"100,001-200,000"
Okehampton Castle,SW,Devon,West Devon,Rural,Historic Properties,Castle / Fort,11206,8708,10255,9991,10243,Paid,£3.01 to £4.99,"10,001-20,000"
Brede Steam Engine Society - The Giants of Brede,SE,East Sussex,Rother,Rural,Workplace,Industrial / Craft Workplace,5000,6000,6000,6500,7000,Free,Free,"10,000 or less"
Old Court Nurseries & Picton Garden,WM,Worcestershire,Malvern,Rural,Gardens,Garden,2650,2700,3301,4460,4146,Paid,£3.01 to £4.99,"10,000 or less"
Old Guildhall Museum,SW,Cornwall,Cornwall,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,6630,4665,4890,3800,4961,Paid,Under £3.00,"10,000 or less"
"Old Operating Theatre, Museum and Herb Garret",LON,GREATER LONDON,Southwark,Urban,Museums & Art Galleries,Museum and / or Art Gallery,34649,39000,42000,44351,43459,Paid,£5.00 to £7.49,"20,001-50,000"
Old Sarum,SW,Wiltshire,Wiltshire,Rural,Historic Properties,Historic Monument/ Archaeological Site,68902,62366,74381,62173,67579,Paid,£3.01 to £4.99,"50,001-100,000"
Old Wardour Castle,SW,Wiltshire,Wiltshire,Rural,Historic Properties,Castle / Fort,29372,24938,26754,23279,22254,Paid,£3.01 to £4.99,"20,001-50,000"
Oliver Cromwell's House,EAST,Cambridgeshire,East Cambridgeshire,Rural,Historic Properties,Historic House / House and Garden / Palace,12966,15000,17333,17333,17502,Paid,£3.01 to £4.99,"10,001-20,000"
Orford Castle,EAST,Suffolk,Suffolk Coastal,Coastal,Historic Properties,Castle / Fort,35552,29410,29974,31276,29022,Paid,£5.00 to £7.49,"20,001-50,000"
Orford Ness National Nature Reserve,EAST,Suffolk,Suffolk Coastal,Coastal,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,8500,7960,6572,6500,7001,Paid,Charge - DK,"10,000 or less"
Ormesby Hall,NE,Tees Valley,Redcar and Cleveland,Rural,Historic Properties,Historic House / House and Garden / Palace,21072,17800,15499,12585,6752,Paid,£5.00 to £7.49,"10,000 or less"
Osborne House,SE,Isle of Wight,Isle of Wight,Coastal,Historic Properties,Historic House / House and Garden / Palace,231197,248544,243082,242779,248405,Paid,£10.00 or over,"Over 200,000"
Osterley Park House (NT),LON,GREATER LONDON,Hounslow,Urban,Historic Properties,Historic House / House and Garden / Palace,45299,39336,61460,65102,78395,Paid,£7.50 to £9.99,"50,001-100,000"
Overbecks Museum and Garden,SW,Devon,South Hams,Coastal,Historic Properties,Historic House / House and Garden / Palace,45735,39786,43500,43156,47364,Paid,Charge - DK,"20,001-50,000"
Owletts - National Trust,SE,Kent,Gravesham,Rural,Historic Properties,Historic House / House and Garden / Palace,1340,1760,1801,1357,2125,Paid,Charge - DK,"10,000 or less"
